user.id,image,emotion
dwdii,Stacey_Dales-Schuman_0001.jpg,neutral
302,Elton_John_0002.jpg,surprise
302,Colin_Powell_0169.jpg,neutral
302,Janet_Napolitano_0002.jpg,happiness
302,Carol_Niedermayer_0001.jpg,happiness
dwdii,Jeremy_Greenstock_0002.jpg,happiness
jhamski,HrithikRoshan_9.jpg,neutral
302,Dick_Cheney_0008.jpg,neutral
302,Carolyn_Dawn_Johnson_0002.jpg,happiness
dwdii,Trisha_Meili_0001.jpg,happiness
dwdii,Paul_Bremer_0019.jpg,neutral
302,Anna_Nicole_Smith_0002.jpg,happiness
dwdii,Jose_Luis_Chilavert_0001.jpg,neutral
jhamski,Jayamadhuri_173.jpg,sadness
dwdii,Lleyton_Hewitt_0023.jpg,neutral
dwdii,Queen_Elizabeth_II_0011.jpg,happiness
302,George_W_Bush_0530.jpg,neutral
dwdii,Dennis_Kozlowski_0001.jpg,neutral
302,Catherine_Bell_0001.jpg,happiness
jhamski,FaridaJalal_62.jpg,neutral
dwdii,Munir_Akram_0001.jpg,neutral
JN721,Lee_Hoi-chang_0001.jpg,happiness
302,Fidel_Castro_0010.jpg,neutral
JN721,Leo_Ramirez_0001.jpg,neutral
dwdii,Juanes_0001.jpg,happiness
302,Brad_Gushue_0001.jpg,happiness
302,Gerhard_Schroeder_0023.jpg,neutral
302,Gloria_Macapagal_Arroyo_0017.jpg,happiness
302,David_Trimble_0005.jpg,surprise
dwdii,Sergio_Vieira_De_Mello_0004.jpg,happiness
dwdii,Jim_Cantalupo_0001.jpg,happiness
302,Chris_Thomas_0001.jpg,neutral
302,Angelina_Jolie_0003.jpg,happiness
dwdii,Ludivine_Sagnier_0005.jpg,happiness
dwdii,Otto_Schily_0001.jpg,neutral
dwdii,Rupert_Grint_0003.jpg,happiness
302,Gillian_Anderson_0002.jpg,happiness
dwdii,Warren_Granados_0001.jpg,happiness
302,Carlos_Alberto_Parreira_0001.jpg,neutral
dwdii,Robert_Blake_0006.jpg,neutral
dwdii,Tim_Henman_0005.jpg,contempt
dwdii,Steve_Lavin_0003.jpg,neutral
dwdii,Sarah_Canale_0001.jpg,neutral
dwdii,Neil_Moritz_0001.jpg,happiness
jhamski,Avinash_30.jpg,sadness
302,Ashley_Postell_0001.jpg,happiness
302,Donald_Carty_0001.jpg,neutral
dwdii,Shobha_De_0001.jpg,neutral
dwdii,Cindy_Klassen_0001.jpg,happiness
302,Dianne_Feinstein_0001.jpg,neutral
dwdii,Ray_Romano_0007.jpg,happiness
dwdii,Jean_Chretien_0014.jpg,happiness
dwdii,Rich_Brooks_0001.jpg,neutral
jhamski,Dwarakish_89.jpg,sadness
302,Fred_Thompson_0001.jpg,neutral
dwdii,Mahathir_Mohamad_0006.jpg,surprise
302,Hilary_McKay_0001.jpg,neutral
dwdii,Szu_Yu_Chen_0001.jpg,happiness
dwdii,Sivan_Klein_0001.jpg,happiness
302,Ferenc_Madl_0001.jpg,neutral
dwdii,Jorge_Rodolfo_Canicoba_Corral_0002.jpg,neutral
jhamski,Jayamadhuri_97.jpg,happiness
dwdii,Miguel_Aldana_Ibarra_0001.jpg,happiness
